step,date,action,balance,shares_held,price,total_asset,reward,real_shares_bought,real_shares_sold
131,2024-02-26,2,997.5731836547852,0.0,199.3999938964844,997.5731836547852,[-0.2],0.0,0.0
132,2024-02-27,2,997.5731836547852,0.0,199.72999572753903,997.5731836547852,[-0.2],0.0,0.0
133,2024-02-28,2,997.5731836547852,0.0,202.0399932861328,997.5731836547852,[-0.2],0.0,0.0
134,2024-02-29,2,997.5731836547852,0.0,201.8800048828125,997.5731836547852,[-0.2],0.0,0.0
135,2024-03-01,2,997.5731836547852,0.0,202.63999938964844,997.5731836547852,[-0.2],0.0,0.0
136,2024-03-04,2,997.5731836547852,0.0,188.13999938964844,997.5731836547852,[-0.2],0.0,0.0
137,2024-03-05,2,997.5731836547852,0.0,180.7400054931641,997.5731836547852,[-0.2],0.0,0.0
138,2024-03-06,2,997.5731836547852,0.0,176.5399932861328,997.5731836547852,[-0.2],0.0,0.0
139,2024-03-07,2,997.5731836547852,0.0,178.64999389648438,997.5731836547852,[-0.2],0.0,0.0
140,2024-03-08,2,997.5731836547852,0.0,175.33999633789062,997.5731836547852,[-0.2],0.0,0.0
141,2024-03-11,2,997.5731836547852,0.0,177.77000427246094,997.5731836547852,[-0.2],0.0,0.0
142,2024-03-12,2,997.5731836547852,0.0,177.5399932861328,997.5731836547852,[-0.2],0.0,0.0
143,2024-03-13,2,997.5731836547852,0.0,169.47999572753906,997.5731836547852,[-0.2],0.0,0.0
144,2024-03-14,2,997.5731836547852,0.0,162.5,997.5731836547852,[-0.2],0.0,0.0
145,2024-03-15,2,997.5731836547852,0.0,163.57000732421875,997.5731836547852,[-0.2],0.0,0.0
146,2024-03-18,2,997.5731836547852,0.0,173.8000030517578,997.5731836547852,[-0.2],0.0,0.0
147,2024-03-19,2,997.5731836547852,0.0,171.32000732421875,997.5731836547852,[-0.2],0.0,0.0
148,2024-03-20,2,997.5731836547852,0.0,175.66000366210938,997.5731836547852,[-0.2],0.0,0.0
149,2024-03-21,2,997.5731836547852,0.0,172.82000732421875,997.5731836547852,[-0.2],0.0,0.0
150,2024-03-22,2,997.5731836547852,0.0,170.8300018310547,997.5731836547852,[-0.2],0.0,0.0
151,2024-03-25,2,997.5731836547852,0.0,172.6300048828125,997.5731836547852,[-0.2],0.0,0.0
152,2024-03-26,2,997.5731836547852,0.0,177.6699981689453,997.5731836547852,[-0.2],0.0,0.0
153,2024-03-27,2,997.5731836547852,0.0,179.8300018310547,997.5731836547852,[-0.2],0.0,0.0
154,2024-03-28,2,997.5731836547852,0.0,175.7899932861328,997.5731836547852,[-0.2],0.0,0.0
155,2024-04-01,2,997.5731836547852,0.0,175.22000122070312,997.5731836547852,[-0.2],0.0,0.0
156,2024-04-02,2,997.5731836547852,0.0,166.6300048828125,997.5731836547852,[-0.2],0.0,0.0
157,2024-04-03,2,997.5731836547852,0.0,168.3800048828125,997.5731836547852,[-0.2],0.0,0.0
158,2024-04-04,2,997.5731836547852,0.0,171.11000061035156,997.5731836547852,[-0.2],0.0,0.0
159,2024-04-05,1,484.0581981506348,3.0,164.89999389648438,978.7581798400879,[-0.75222915],3.0,0.0
160,2024-04-08,2,1000.9124327697754,0.0,172.97999572753906,1000.9124327697754,[0.94825727],0.0,3.0
161,2024-04-09,2,1000.9124327697754,0.0,176.8800048828125,1000.9124327697754,[-0.2],0.0,0.0
162,2024-04-10,2,1000.9124327697754,0.0,171.75999450683594,1000.9124327697754,[-0.2],0.0,0.0
163,2024-04-11,2,1000.9124327697754,0.0,174.60000610351562,1000.9124327697754,[-0.2],0.0,0.0
164,2024-04-12,2,1000.9124327697754,0.0,171.0500030517578,1000.9124327697754,[-0.2],0.0,0.0
165,2024-04-15,2,1000.9124327697754,0.0,161.47999572753906,1000.9124327697754,[-0.2],0.0,0.0
166,2024-04-16,2,1000.9124327697754,0.0,157.11000061035156,1000.9124327697754,[-0.2],0.0,0.0
167,2024-04-17,2,1000.9124327697754,0.0,155.4499969482422,1000.9124327697754,[-0.2],0.0,0.0
168,2024-04-18,2,1000.9124327697754,0.0,149.92999267578125,1000.9124327697754,[-0.2],0.0,0.0
169,2024-04-19,2,1000.9124327697754,0.0,147.0500030517578,1000.9124327697754,[-0.2],0.0,0.0
170,2024-04-22,2,1000.9124327697754,0.0,142.0500030517578,1000.9124327697754,[-0.2],0.0,0.0
171,2024-04-23,2,1000.9124327697754,0.0,144.67999267578125,1000.9124327697754,[-0.2],0.0,0.0
172,2024-04-24,2,1000.9124327697754,0.0,162.1300048828125,1000.9124327697754,[-0.2],0.0,0.0
173,2024-04-25,2,1000.9124327697754,0.0,170.17999267578125,1000.9124327697754,[-0.2],0.0,0.0
174,2024-04-26,2,1000.9124327697754,0.0,168.2899932861328,1000.9124327697754,[-0.2],0.0,0.0
175,2024-04-29,2,1000.9124327697754,0.0,194.0500030517578,1000.9124327697754,[-0.2],0.0,0.0
176,2024-04-30,2,1000.9124327697754,0.0,183.27999877929688,1000.9124327697754,[-0.2],0.0,0.0
177,2024-05-01,2,1000.9124327697754,0.0,179.99000549316406,1000.9124327697754,[-0.2],0.0,0.0
178,2024-05-02,2,1000.9124327697754,0.0,180.00999450683594,1000.9124327697754,[-0.2],0.0,0.0
179,2024-05-03,2,1000.9124327697754,0.0,181.19000244140625,1000.9124327697754,[-0.2],0.0,0.0
180,2024-05-06,2,1000.9124327697754,0.0,184.759994506836,1000.9124327697754,[-0.2],0.0,0.0
