step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward
93,2025-01-31,0,4662.910454981145,0.12965806501038935,2812.5,2588.0,5027.573762822865,0.08574651926755905
94,2025-02-03,0,4662.910454981145,0.12965806501038935,2833.89990234375,2588.0,5030.348432752167,0.09401541948318481
95,2025-02-04,0,4662.910454981145,0.12965806501038935,2853.300048828125,2588.0,5032.86381820625,0.0989999994635582
96,2025-02-05,0,4662.910454981145,0.12965806501038935,2871.60009765625,2588.0,5035.2365671269,0.0989999994635582
97,2025-02-06,0,4662.910454981145,0.12965806501038935,2856.0,2588.0,5033.213888650817,0.0989999994635582
98,2025-02-07,0,4662.910454981145,0.12965806501038935,2867.300048828125,2588.0,5034.679031116395,0.0989999994635582
99,2025-02-10,0,4662.910454981145,0.12965806501038935,2914.300048828125,2588.0,5040.772960171883,0.0989999994635582
100,2025-02-11,0,4662.910454981145,0.12965806501038935,2912.5,2588.0,5040.539569323904,0.0989999994635582
101,2025-02-12,0,4662.910454981145,0.12965806501038935,2909.0,2588.0,5040.085766096368,0.0989999994635582
102,2025-02-13,0,4662.910454981145,0.12965806501038935,2925.89990234375,2588.0,5042.276974733123,0.0989999994635582
103,2025-02-14,0,4662.910454981145,0.12965806501038935,2883.60009765625,2588.0,5036.792463907024,0.0989999994635582
104,2025-02-18,0,4662.910454981145,0.12965806501038935,2931.60009765625,2588.0,5043.016051027524,0.0989999994635582
105,2025-02-19,0,4662.910454981145,0.12965806501038935,2919.39990234375,2588.0,5041.434197310556,0.0989999994635582
106,2025-02-20,0,4662.910454981145,0.12965806501038935,2940.0,2588.0,5044.10516611169,0.0989999994635582
107,2025-02-21,0,4662.910454981145,0.12965806501038935,2937.60009765625,2588.0,5043.793999417586,0.0989999994635582
108,2025-02-24,0,4662.910454981145,0.12965806501038935,2947.89990234375,2588.0,5045.129452163352,0.0989999994635582
109,2025-02-25,0,4662.910454981145,0.12965806501038935,2904.5,2588.0,5039.502304803821,0.0989999994635582
110,2025-02-26,0,4662.910454981145,0.12965806501038935,2916.800048828125,2588.0,5041.097105334409,0.0989999994635582
111,2025-02-27,0,4662.910454981145,0.12965806501038935,2883.199951171875,2588.0,5036.74058168814,0.0989999994635582
112,2025-02-28,0,4662.910454981145,0.12965806501038935,2836.800048828125,2588.0,5030.724460133578,0.09513603150844574
113,2025-03-03,0,4662.910454981145,0.12965806501038935,2890.199951171875,2588.0,5037.648188143213,0.0989999994635582
114,2025-03-04,0,4662.910454981145,0.12965806501038935,2909.60009765625,2588.0,5040.163573597295,0.0989999994635582
115,2025-03-05,0,4662.910454981145,0.12965806501038935,2915.300048828125,2588.0,5040.902618236893,0.0989999994635582
116,2025-03-06,0,4662.910454981145,0.12965806501038935,2916.60009765625,2588.0,5041.071180052368,0.0989999994635582
117,2025-03-07,0,4662.910454981145,0.12965806501038935,2904.699951171875,2588.0,5039.5282300858635,0.0989999994635582
118,2025-03-10,0,4662.910454981145,0.12965806501038935,2891.0,2588.0,5037.751920926181,0.0989999994635582
119,2025-03-11,0,4662.910454981145,0.12965806501038935,2912.89990234375,2588.0,5040.591419887988,0.0989999994635582
120,2025-03-12,0,4662.910454981145,0.12965806501038935,2939.10009765625,2588.0,5043.988486515102,0.0989999994635582
121,2025-03-13,0,4662.910454981145,0.12965806501038935,2984.300048828125,2588.0,5049.849024722611,0.0989999994635582
122,2025-03-14,0,4662.910454981145,0.12965806501038935,2994.5,2588.0,5051.171530654757,0.0989999994635582
123,2025-03-17,0,4662.910454981145,0.12965806501038935,3000.0,2588.0,5051.884650012314,0.0989999994635582
124,2025-03-18,0,4662.910454981145,0.12965806501038935,3035.10009765625,2588.0,5056.4356607560985,0.0989999994635582
125,2025-03-19,0,4662.910454981145,0.12965806501038935,3035.89990234375,2588.0,5056.539361884266,0.0989999994635582
126,2025-03-20,0,4662.910454981145,0.12965806501038935,3040.0,2588.0,5057.070972612729,0.0989999994635582
127,2025-03-21,0,4662.910454981145,0.12965806501038935,3018.199951171875,2588.0,5054.244420464543,0.0989999994635582
128,2025-03-24,0,4662.910454981145,0.12965806501038935,3013.10009765625,2588.0,5053.58318332587,0.0989999994635582
129,2025-03-25,0,4662.910454981145,0.12965806501038935,3023.699951171875,2588.0,5054.9575398220995,0.0989999994635582
130,2025-03-26,0,4662.910454981145,0.12965806501038935,3020.89990234375,2588.0,5054.59449090911,0.0989999994635582
131,2025-03-27,0,4662.910454981145,0.12965806501038935,3060.199951171875,2588.0,5059.690059194979,0.0989999994635582
132,2025-03-28,0,4662.910454981145,0.12965806501038935,3086.5,2588.0,5063.100072635712,0.0989999994635582
133,2025-03-31,0,4662.910454981145,0.12965806501038935,3122.800048828125,2588.0,5067.806666726549,0.0989999994635582
134,2025-04-01,0,4662.910454981145,0.12965806501038935,3118.89990234375,2588.0,5067.300981280128,0.0989999994635582
