step,date,action,balance,shares_held,price,total_asset,reward,real_shares_bought,real_shares_sold
138,2025-03-10,0,1009.9190854492189,0,227.47999572753903,1009.9190854492189,[-0.105],0,0
139,2025-03-11,0,1009.9190854492189,0,220.83999633789065,1009.9190854492189,[-0.105],0,0
140,2025-03-12,0,1009.9190854492189,0,216.97999572753903,1009.9190854492189,[-0.005],0,0
141,2025-03-13,0,1009.9190854492189,0,209.67999267578125,1009.9190854492189,[-0.1],0,0
142,2025-03-14,0,1009.9190854492189,0,213.4900054931641,1009.9190854492189,[-0.105],0,0
143,2025-03-17,0,1009.9190854492189,0,214.0,1009.9190854492189,[-0.005],0,0
144,2025-03-18,0,1009.9190854492189,0,212.69000244140625,1009.9190854492189,[-0.005],0,0
145,2025-03-19,0,1009.9190854492189,0,215.2400054931641,1009.9190854492189,[-0.105],0,0
146,2025-03-20,0,1009.9190854492189,0,214.1000061035156,1009.9190854492189,[-0.2],0,0
147,2025-03-21,0,1009.9190854492189,0,218.2700042724609,1009.9190854492189,[-0.005],0,0
148,2025-03-24,0,1009.9190854492189,0,220.72999572753903,1009.9190854492189,[-0.105],0,0
149,2025-03-25,0,1009.9190854492189,0,223.75,1009.9190854492189,[-0.105],0,0
150,2025-03-26,0,1009.9190854492189,0,221.52999877929688,1009.9190854492189,[-0.105],0,0
151,2025-03-27,0,1009.9190854492189,0,223.8500061035156,1009.9190854492189,[-0.2],0,0
152,2025-03-28,0,1009.9190854492189,0,217.8999938964844,1009.9190854492189,[-0.105],0,0
153,2025-03-31,0,1009.9190854492189,0,222.1300048828125,1009.9190854492189,[-0.105],0,0
154,2025-04-01,0,1009.9190854492189,0,223.19000244140625,1009.9190854492189,[-0.2],0,0
155,2025-04-02,0,1009.9190854492189,0,223.88999938964844,1009.9190854492189,[-0.105],0,0
156,2025-04-03,0,1009.9190854492189,0,203.19000244140625,1009.9190854492189,[-0.2],0,0
157,2025-04-04,0,1009.9190854492189,0,188.3800048828125,1009.9190854492189,[-0.2],0,0
158,2025-04-07,0,1009.9190854492189,0,181.4600067138672,1009.9190854492189,[-0.2],0,0
159,2025-04-08,0,1009.9190854492189,0,172.4199981689453,1009.9190854492189,[-0.005],0,0
160,2025-04-09,0,1009.9190854492189,0,198.8500061035156,1009.9190854492189,[-0.2],0,0
161,2025-04-10,0,1009.9190854492189,0,190.4199981689453,1009.9190854492189,[-0.005],0,0
162,2025-04-11,0,1009.9190854492189,0,198.1499938964844,1009.9190854492189,[-0.2],0,0
163,2025-04-14,0,1009.9190854492189,0,202.5200042724609,1009.9190854492189,[-0.005],0,0
164,2025-04-15,0,1009.9190854492189,0,202.13999938964844,1009.9190854492189,[-0.005],0,0
165,2025-04-16,0,1009.9190854492189,0,194.2700042724609,1009.9190854492189,[-0.105],0,0
166,2025-04-17,0,1009.9190854492189,0,196.97999572753903,1009.9190854492189,[-0.105],0,0
167,2025-04-21,0,1009.9190854492189,0,193.1600036621093,1009.9190854492189,[-0.105],0,0
168,2025-04-22,0,1009.9190854492189,0,199.7400054931641,1009.9190854492189,[-0.105],0,0
169,2025-04-23,0,1009.9190854492189,0,204.6000061035156,1009.9190854492189,[-0.2],0,0
170,2025-04-24,0,1009.9190854492189,0,208.3699951171875,1009.9190854492189,[-0.105],0,0
171,2025-04-25,0,1009.9190854492189,0,209.27999877929688,1009.9190854492189,[-0.2],0,0
172,2025-04-28,0,1009.9190854492189,0,210.13999938964844,1009.9190854492189,[-0.2],0,0
173,2025-04-29,0,1009.9190854492189,0,211.2100067138672,1009.9190854492189,[-0.105],0,0
174,2025-04-30,0,1009.9190854492189,0,212.5,1009.9190854492189,[-0.105],0,0
175,2025-05-01,0,1009.9190854492189,0,213.32000732421875,1009.9190854492189,[-0.2],0,0
176,2025-05-02,0,1009.9190854492189,0,205.3500061035156,1009.9190854492189,[-0.105],0,0
177,2025-05-05,0,1009.9190854492189,0,198.88999938964844,1009.9190854492189,[-0.2],0,0
178,2025-05-06,0,1009.9190854492189,0,198.509994506836,1009.9190854492189,[-0.2],0,0
179,2025-05-07,0,1009.9190854492189,0,196.25,1009.9190854492189,[-0.1],0,0
180,2025-05-08,0,1009.9190854492189,0,197.4900054931641,1009.9190854492189,[-0.105],0,0
181,2025-05-09,0,1009.9190854492189,0,198.52999877929688,1009.9190854492189,[-0.105],0,0
