step,date,action,balance,shares_held,price,total_asset,reward
180,2024-03-21,2,1004.7608371276855,0,15.463815689086914,1004.7608371276855,[0.]
181,2024-03-22,0,1004.7608371276855,0,15.18016529083252,1004.7608371276855,[0.]
182,2024-03-25,2,1004.7608371276855,0,15.229071617126465,1004.7608371276855,[0.]
183,2024-03-26,2,1004.7608371276855,0,15.18016529083252,1004.7608371276855,[0.]
184,2024-03-27,2,1004.7608371276855,0,15.855055809020996,1004.7608371276855,[0.]
185,2024-03-28,2,1004.7608371276855,0,16.2756404876709,1004.7608371276855,[0.]
186,2024-04-01,2,1004.7608371276855,0,16.490825653076172,1004.7608371276855,[0.]
187,2024-04-02,2,1004.7608371276855,0,16.803817749023438,1004.7608371276855,[0.]
188,2024-04-03,2,1004.7608371276855,0,17.03856086730957,1004.7608371276855,[0.]
189,2024-04-04,2,1004.7608371276855,0,17.009220123291016,1004.7608371276855,[0.]
190,2024-04-05,2,1004.7608371276855,0,17.468929290771484,1004.7608371276855,[0.]
191,2024-04-08,2,1004.7608371276855,0,17.312429428100586,1004.7608371276855,[0.]
192,2024-04-09,2,1004.7608371276855,0,17.615644454956055,1004.7608371276855,[0.]
193,2024-04-10,0,1004.7608371276855,0,17.5080509185791,1004.7608371276855,[0.]
194,2024-04-11,2,1004.7608371276855,0,17.64498519897461,1004.7608371276855,[0.]
195,2024-04-12,2,1004.7608371276855,0,17.468929290771484,1004.7608371276855,[0.]
196,2024-04-15,2,1004.7608371276855,0,16.98965835571289,1004.7608371276855,[0.]
197,2024-04-16,2,1004.7608371276855,0,16.119144439697266,1004.7608371276855,[0.]
198,2024-04-17,2,1004.7608371276855,0,16.334327697753906,1004.7608371276855,[0.]
199,2024-04-18,2,1004.7608371276855,0,16.60819435119629,1004.7608371276855,[0.]
200,2024-04-19,2,1004.7608371276855,0,16.725568771362305,1004.7608371276855,[0.]
201,2024-04-22,2,1004.7608371276855,0,16.06045913696289,1004.7608371276855,[0.]
202,2024-04-23,2,1004.7608371276855,0,16.324546813964844,1004.7608371276855,[0.]
203,2024-04-24,2,1004.7608371276855,0,16.15826988220215,1004.7608371276855,[0.]
204,2024-04-25,2,1004.7608371276855,0,16.70600700378418,1004.7608371276855,[0.]
205,2024-04-26,2,1004.7608371276855,0,16.71578598022461,1004.7608371276855,[0.]
206,2024-04-29,2,1004.7608371276855,0,16.940750122070312,1004.7608371276855,[0.]
207,2024-04-30,2,1004.7608371276855,0,16.2756404876709,1004.7608371276855,[0.]
208,2024-05-01,2,1004.7608371276855,0,16.001773834228516,1004.7608371276855,[0.]
209,2024-05-02,1,954.4837774009704,3,16.187610626220703,1003.0466092796325,[-0.20511799]
210,2024-05-03,2,1002.5687920570373,0,16.099580764770508,1002.5687920570373,[-0.65690976]
211,2024-05-06,2,1002.5687920570373,0,16.30498504638672,1002.5687920570373,[0.]
212,2024-05-07,2,1002.5687920570373,0,16.373451232910156,1002.5687920570373,[0.]
213,2024-05-08,2,1002.5687920570373,0,16.35388946533203,1002.5687920570373,[0.]
214,2024-05-09,2,1002.5687920570373,0,16.657102584838867,1002.5687920570373,[0.]
215,2024-05-10,2,1002.5687920570373,0,16.559289932250977,1002.5687920570373,[0.]
216,2024-05-13,2,1002.5687920570373,0,16.569072723388672,1002.5687920570373,[0.]
217,2024-05-14,2,1002.5687920570373,0,16.774471282958984,1002.5687920570373,[0.]
218,2024-05-15,2,1002.5687920570373,0,17.03856086730957,1002.5687920570373,[0.]
219,2024-05-16,2,1002.5687920570373,0,17.13637351989746,1002.5687920570373,[0.]
